,z,height H1,height H2
608,608,2.7748213811999998,2.8899805677999995
609,609,2.7663465648,2.8837649002
610,610,2.7595214802999997,2.8761797364999997
611,611,2.7544410551000005,2.8671928294
612,612,2.7507751979000004,2.8572034174
613,613,2.7477619649999996,2.8470473087999997
614,614,2.7443215312,2.8378788318
615,615,2.7395510420000004,2.8306709794
616,616,2.7334347287,2.8255029027000003
617,617,2.7268618119,2.8215409881000006
618,618,2.7209160408999997,2.8177471787999995
619,619,2.7163678507999998,2.8133916352
620,620,2.7135764644,2.8081581794000003
621,621,2.7125319122000002,2.802106589
622,622,2.7128779754,2.7956497815000003
623,623,2.7139293135000004,2.7895324339
624,624,2.7148349697,2.7846603514000003
625,625,2.7150503637999996,2.7816240208
626,626,2.7147882214,2.7802449976000005
627,627,2.7147985461,2.7797971837000004
628,628,2.7158043612,2.7795700329999997
629,629,2.7182374103000004,2.7791379196
630,630,2.7222384760000002,2.7783622935
631,631,2.7277154377,2.7773316396000003
632,632,2.7343840099,2.7763145815
633,633,2.7418276464,2.7756935563000003
634,634,2.7496591400000003,2.7757974227
635,635,2.7577645352999998,2.7766609000000004
636,636,2.7663328036,2.7779996816
637,637,2.7755771650999996,2.7794971672999997
638,638,2.7855374182999997,2.7810022318000005
639,639,2.7960995019000006,2.7825072628000003
640,640,2.8070830048999995,2.7840574386
641,641,2.8183258832,2.7856613407
642,642,2.8297835591,2.7871945877
643,643,2.8416585924,2.7882758160000005
644,644,2.8544642394000004,2.7882115639
645,645,2.8687345598999996,2.7863003567999995
646,646,2.8843896269999996,2.7824770753999997
647,647,2.9005596015000004,2.7774940053000003
648,648,2.916072391,2.7724280096999996
649,649,2.9299283759000003,2.7681943684000005
650,650,2.9415154380999997,2.7653236264
651,651,2.9507197037,2.7638399543
652,652,2.9580887849999997,2.7630995522000004
653,653,2.9650186713,2.7616095943000003
654,654,2.9736045122000005,2.7571977797000002
655,655,2.9855305345,2.7481443236000005
656,656,3.0004971531,2.7347687864999997
657,657,3.0162323628,2.7194136811000003
658,658,3.0300006723,2.7049148748
659,659,3.0397360448,2.6934411577
660,660,3.0443926861999997,2.686127212
661,661,3.0440119693999996,2.6829945808
662,662,3.0398569627,2.6828194963999996
663,663,3.0345646046,2.6829882709
664,664,3.0317730430000003,2.6798969341000003
665,665,3.0343833981,2.6707219745
666,666,3.0422490730000002,2.655751967
667,667,3.0522375531999995,2.6383181732
668,668,3.0605276628,2.6224638736
669,669,3.0643090922000003,2.6112083611
670,670,3.0622381893000004,2.6060695680000006
671,671,3.0544273653999996,2.6070650223999996
672,672,3.0424902768000006,2.612666095
673,673,3.0296243270000005,2.6197239895000006
674,674,3.0201212218,2.6239772051
675,675,3.0174045962000005,2.6220399823000005
676,676,3.0214511898999996,2.6139999651999997
677,677,3.0288573504,2.6033541074000004
678,678,3.0354423061,2.5943797994000004
679,679,3.0381499638000005,2.5902079992000004
680,680,3.0355037231999997,2.5923544955999995
681,681,3.0275159077,2.6008079935
682,682,3.0156469474999996,2.6140698287
683,683,3.0028208951999997,2.6291442199
684,684,2.9929478926999993,2.6420258313
685,685,2.9891490189999996,2.6494947699
686,686,2.991427899,2.6514612979999996
687,687,2.9967549462999994,2.6508880760999993
